casa_id,fecha,consumo_kwh,temperatura,irradiacion_solar,Tiene_Placas,Produccion_Solar_kWh
1,2020-03-01,0.028,12.4,4.1,0,0.0
1,2020-03-01,0.028,12.4,4.1,1,0.0091417917851268
1,2020-03-01,0.083,12.4,4.1,1,0.0095819509837117
1,2020-03-01,0.034,12.4,4.1,0,0.0
1,2020-03-01,0.049,12.4,4.1,0,0.0
1,2020-03-01,0.063,12.4,4.1,0,0.0
1,2020-03-01,0.022,12.4,4.1,0,0.0
1,2020-03-01,0.089,12.4,4.1,0,0.0
1,2020-03-01,0.021,12.4,4.1,0,0.0
1,2020-03-01,0.085,12.4,4.1,0,0.0
1,2020-03-01,0.293,12.4,4.1,0,0.0
1,2020-03-01,0.147,12.4,4.1,0,0.0
1,2020-03-01,0.061,12.4,4.1,0,0.0
1,2020-03-01,0.039,12.4,4.1,1,0.0174124107099423
1,2020-03-01,0.124,12.4,4.1,0,0.0
1,2020-03-01,0.605,12.4,4.1,0,0.0
1,2020-03-01,0.155,12.4,4.1,0,0.0
1,2020-03-01,0.022,12.4,4.1,1,0.0086303964827976
1,2020-03-01,0.115,12.4,4.1,1,0.0172280502176704
1,2020-03-01,0.075,12.4,4.1,0,0.0
1,2020-03-01,0.165,12.4,4.1,0,0.0
1,2020-03-01,0.37,12.4,4.1,1,0.0111417830277126
1,2020-03-01,0.023,12.4,4.1,0,0.0
1,2020-03-01,0.087,12.4,4.1,0,0.0
1,2020-03-01,0.37,12.4,4.1,0,0.0
1,2020-03-02,0.297,11.0,2.0,1,0.0068339327807213
1,2020-03-02,0.243,11.0,2.0,0,0.0
1,2020-03-02,0.098,11.0,2.0,0,0.0
1,2020-03-02,0.049,11.0,2.0,0,0.0
1,2020-03-02,0.036,11.0,2.0,0,0.0
1,2020-03-02,0.072,11.0,2.0,1,0.0063105226774568
1,2020-03-02,0.137,11.0,2.0,0,0.0
1,2020-03-02,0.23,11.0,2.0,1,0.0092728691069256
1,2020-03-02,0.019,11.0,2.0,1,0.0041137280345461
1,2020-03-02,0.085,11.0,2.0,0,0.0
1,2020-03-02,0.02,11.0,2.0,0,0.0
1,2020-03-02,0.061,11.0,2.0,0,0.0
1,2020-03-02,0.045,11.0,2.0,0,0.0
1,2020-03-02,0.034,11.0,2.0,0,0.0
1,2020-03-02,0.071,11.0,2.0,0,0.0
1,2020-03-02,0.019,11.0,2.0,1,0.0064900855111306
1,2020-03-02,0.211,11.0,2.0,1,0.0089863453529594
1,2020-03-02,0.185,11.0,2.0,0,0.0
1,2020-03-02,0.59,11.0,2.0,0,0.0
1,2020-03-02,0.916,11.0,2.0,0,0.0
1,2020-03-02,0.505,11.0,2.0,1,0.0053793874808352
1,2020-03-02,0.066,11.0,2.0,0,0.0
1,2020-03-02,0.485,11.0,2.0,0,0.0
1,2020-03-02,0.162,11.0,2.0,0,0.0
1,2020-03-03,0.078,11.6,0.4,0,0.0
1,2020-03-03,0.076,11.6,0.4,1,0.0019025972959955
1,2020-03-03,0.06,11.6,0.4,0,0.0
1,2020-03-03,0.077,11.6,0.4,0,0.0
1,2020-03-03,0.054,11.6,0.4,0,0.0
1,2020-03-03,0.065,11.6,0.4,1,0.0013294970066386
1,2020-03-03,0.178,11.6,0.4,0,0.0
1,2020-03-03,0.156,11.6,0.4,0,0.0
1,2020-03-03,0.081,11.6,0.4,1,0.0010045158500418
1,2020-03-03,0.019,11.6,0.4,0,0.0
1,2020-03-03,0.075,11.6,0.4,0,0.0
1,2020-03-03,0.038,11.6,0.4,1,0.0011557543785541
1,2020-03-03,0.054,11.6,0.4,1,0.0012874400160285
1,2020-03-03,0.051,11.6,0.4,0,0.0
1,2020-03-03,0.033,11.6,0.4,1,0.0010476944588068
1,2020-03-03,0.072,11.6,0.4,0,0.0
1,2020-03-03,0.146,11.6,0.4,0,0.0
1,2020-03-03,0.271,11.6,0.4,0,0.0
1,2020-03-03,0.288,11.6,0.4,1,0.0011628482840529
1,2020-03-03,0.085,11.6,0.4,0,0.0
1,2020-03-03,0.081,11.6,0.4,1,0.0017239075313821
1,2020-03-03,0.069,11.6,0.4,0,0.0
1,2020-03-03,0.296,11.6,0.4,0,0.0
1,2020-03-03,0.037,11.6,0.4,0,0.0
1,2020-03-04,0.081,14.2,0.0,1,0.0
1,2020-03-04,0.019,14.2,0.0,0,0.0
1,2020-03-04,0.088,14.2,0.0,0,0.0
1,2020-03-04,0.02,14.2,0.0,0,0.0
1,2020-03-04,0.071,14.2,0.0,0,0.0
1,2020-03-04,0.037,14.2,0.0,0,0.0
1,2020-03-04,0.141,14.2,0.0,0,0.0
1,2020-03-04,0.393,14.2,0.0,0,0.0
1,2020-03-04,0.02,14.2,0.0,0,0.0
1,2020-03-04,0.081,14.2,0.0,0,0.0
1,2020-03-04,0.048,14.2,0.0,0,0.0
1,2020-03-04,0.039,14.2,0.0,1,0.0
1,2020-03-04,0.058,14.2,0.0,0,0.0
1,2020-03-04,0.018,14.2,0.0,1,0.0
1,2020-03-04,0.087,14.2,0.0,0,0.0
1,2020-03-04,0.018,14.2,0.0,0,0.0
1,2020-03-04,0.219,14.2,0.0,1,0.0
1,2020-03-04,0.061,14.2,0.0,1,0.0
1,2020-03-04,0.065,14.2,0.0,0,0.0
1,2020-03-04,0.102,14.2,0.0,0,0.0
1,2020-03-04,1.402,14.2,0.0,0,0.0
